acquisition_orientation	autocorrelation_model	b0_unwarping_software	coordinate_space	echo_time	field_of_view	field_strength	flip_angle	full_dataset_url	functional_coregistered_to_structural	functional_coregistration_method	group_comparison	group_description	group_estimation_type	group_inference_type	group_model_multilevel	group_model_type	group_modeling_software	group_repeated_measures	group_repeated_measures_method	handedness	hemodynamic_response_function	high_pass_filter_method	inclusion_exclusion_criteria	interpolation_method	intersubject_registration_software	intersubject_transformation_type	intrasubject_estimation_type	intrasubject_model_type	intrasubject_modeling_software	length_of_blocks	length_of_runs	length_of_trials	matrix_size	motion_correction_interpolation	motion_correction_metric	motion_correction_reference	motion_correction_software	nonlinear_transform_type	number_of_experimental_units	number_of_images	number_of_imaging_runs	number_of_rejected_subjects	object_image_type	optimization	optimization_method	order_of_acquisition	order_of_preprocessing_operations	orthogonalization_description	parallel_imaging	proportion_male_subjects	pulse_sequence	quality_control	repetition_time	resampled_voxel_size	scanner_make	scanner_model	skip_distance	slice_thickness	slice_timing_correction_software	smoothing_fwhm	smoothing_type	software_package	software_version	subject_age_max	subject_age_mean	subject_age_min	target_resolution	target_template_image	transform_similarity_metric	type_of_design	used_b0_unwarping	used_dispersion_derivatives	used_high_pass_filter	used_intersubject_registration	used_motion_correction	used_motion_regressors	used_motion_susceptibiity_correction	used_orthogonalization	used_reaction_time_regressor	used_slice_timing_correction	used_smoothing	used_temporal_derivatives	doi	pmid	year	title	source_title
																																																																																			10.1093/brain/124.5.916	11335694.0	2001	Cortical Activation By Tactile And Painful Stimuli In Hemispherectomized Patients	Brain
																																								6.0																																											10.1016/j.neuroimage.2004.12.034	15850749.0	2005	A New SPM Toolbox For Combining Probabilistic Cytoarchitectonic Maps And Functional Imaging Data	NeuroImage
																																								2.0																																											10.1002/hbm.20348	17266106.0	2007	Ventral Visual Cortex In Humans: Cytoarchitectonic Mapping Of Two Extrastriate Areas	Human Brain Mapping
						3.0		https://openfmri.org/dataset/ds000008																																17.0															Siemens	Allegra																											10.1523/JNEUROSCI.0519-07.2007	17409238.0	2007	Triangulating A Cognitive Control Network Using Diffusion-Weighted Magnetic Resonance Imaging (MRI) And Functional MRI	The Journal Of Neuroscience
						1.5		https://openfmri.org/dataset/ds000108																																37.0										0.5					GE	Signa Twin Speed Excite HD scanner								41.0	22.18	18.0																	10.1016/j.neuron.2008.09.006	18817740.0	2008	Prefrontal-Subcortical Pathways Mediating Successful Emotion Regulation	Neuron
																																								14.0																																											10.1002/hbm.21188	21305668.0	2011	Identification Of Human Gustatory Cortex By Activation Likelihood Estimation	Human Brain Mapping
																																								6.0																																											10.1093/cercor/bhr166	21725038.0	2011	The Modular Neuroarchitecture Of Social Judgments On Faces	Cerebral Cortex
						3.0		https://openfmri.org/dataset/ds000110																																26.0															Signa																												10.1523/JNEUROSCI.0152-11.2011	21880922.0	2011	Dissociable Effects Of Top-Down And Bottom-Up Attention During Episodic Encoding	The Journal Of Neuroscience
																																																																																			10.1371/journal.pone.0026681	22073183.0	2011	Visualization Of Painful Experiences Believed To Trigger The Activation Of Affective And Emotional Brain Regions In Subjects With Low Back Pain	Plos One
								http://anima.modelgui.org/studies/Eulenburg_Vestibular_2012																																9.0																																											10.1016/j.neuroimage.2011.12.032	22209784.0	2012	Meta-analytical Definition And Functional Connectivity Of The Human Vestibular Cortex	NeuroImage
